SYMBOL, SERIES,DATE, PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ABFRL, EQ, 04-Nov-2022,352.4,354,355.9,325.35,330.65,329.15,336.9,6263664,21102.59,59255,1711388,27.32
ABMINTLLTD, BE, 04-Nov-2022,73.5,72,74,72,72.2,72.2,73.09,209,0.15,5, -, -
ABSLAMC, EQ, 04-Nov-2022,420.9,420.05,423.85,415,415.95,415.45,417.51,51422,214.69,2588,33462,65.07
ABSLBANETF, EQ, 04-Nov-2022,41.31,42.03,42.03,41,41.35,41.19,41.25,3490,1.44,124,2521,72.23
ABSLNN50ET, EQ, 04-Nov-2022,44.02,43.46,44.36,43.46,44.09,44.23,44.13,30054,13.26,72,22833,75.97
ACC, EQ, 04-Nov-2022,2455.35,2462,2514.95,2459.3,2483.5,2480.7,2485.77,585433,14552.52,32804,149032,25.46
ACCELYA, EQ, 04-Nov-2022,1315.2,1325,1325,1287.65,1293,1295.35,1298.16,17826,231.41,3226,8162,45.79
ACCURACY, EQ, 04-Nov-2022,223,223,223.75,178.8,218.5,219.75,219.45,168764,370.35,1187,154549,91.58
ACE, EQ, 04-Nov-2022,298.65,298.6,330,298.6,329,327.75,321.3,4377956,14066.33,67131,1082809,24.73
ACEINTEG, EQ, 04-Nov-2022,46.2,48.5,48.5,48.5,48.5,48.5,48.5,1501,0.73,2,1501,100
ACRYSIL, EQ, 04-Nov-2022,557.25,561,562.65,554.5,559.9,556.55,558.59,40148,224.26,2783,23992,59.76
ADANIENT, EQ, 04-Nov-2022,3590.4,3642,3849.8,3566.75,3825.9,3833.25,3732.33,6112097,228123.63,251172,761773,12.46
ADANIGREEN, EQ, 04-Nov-2022,2106.7,2106.7,2129.7,2095,2118.95,2121.25,2111.78,777118,16411.01,30461,286807,36.91
ADANIPORTS, EQ, 04-Nov-2022,833.85,837,867,832,858.8,862.9,849.94,11128361,94584.44,137148,2598328,23.35
ADANIPOWER, BE, 04-Nov-2022,336.75,338,350,332.75,346,346.85,342.07,1800682,6159.58,31514, -, -
ADANITRANS, EQ, 04-Nov-2022,3292.15,3300,3335,3235,3308,3319.45,3292.94,460864,15175.96,32757,124134,26.94
ADFFOODS, EQ, 04-Nov-2022,704.95,711,715,704,705,710.35,708.08,4517,31.98,436,3231,71.53
ADL, BE, 04-Nov-2022,65.15,66.6,66.6,64,64,64,64.09,298,0.19,13, -, -
ADORWELD, EQ, 04-Nov-2022,892.3,898.45,920,884.5,890,890.7,898.11,20313,182.43,2325,12601,62.03
ADROITINFO, EQ, 04-Nov-2022,16.95,16.95,17.75,16.5,17.75,17.4,17,44936,7.64,143,41359,92.04
ADSL, EQ, 04-Nov-2022,98.9,99,102.75,98.85,101.65,101.95,100.89,119483,120.55,1646,80611,67.47
ADVANIHOTR, EQ, 04-Nov-2022,81.8,82.7,83.5,81.7,82.05,82.2,82.68,37735,31.2,515,25442,67.42
ADVENZYMES, EQ, 04-Nov-2022,282.45,280.6,284.95,280,282.5,281.6,281.63,30396,85.6,1744,17645,58.05
AEGISCHEM, EQ, 04-Nov-2022,306,306,307.2,297.75,303.3,303.75,301.48,1185376,3573.64,13761,852341,71.9
AETHER, EQ, 04-Nov-2022,948.45,956.9,959.65,943,943.2,944,950.62,56819,540.13,5667,24741,43.54
AFFLE, EQ, 04-Nov-2022,1163,1163,1169,1143.55,1157,1161.8,1155.1,113852,1315.11,11727,55524,48.77
AGARIND, EQ, 04-Nov-2022,680.75,684.55,700,676.3,680,685.45,686.42,33640,230.91,2514,16618,49.4
AGI, EQ, 04-Nov-2022,317.55,319.75,320.1,311.1,314.9,315.1,315.11,178576,562.71,7108,84652,47.4
AGNI, SM, 04-Nov-2022,23.7,24.6,24.85,24.6,24.85,24.85,24.75,40000,9.9,4,40000,100
AGRITECH, EQ, 04-Nov-2022,106.95,107.85,107.85,104.1,105.2,105.15,105.29,4633,4.88,159,3184,68.72
AGROPHOS, EQ, 04-Nov-2022,38.6,38.6,39.75,38.6,39.2,39.25,39.41,92039,36.27,623,63634,69.14
AGSTRA, EQ, 04-Nov-2022,81.35,81.8,81.8,80.3,81.15,81,80.91,113007,91.43,1925,65512,57.97
AHLADA, BE, 04-Nov-2022,105.25,106,108,104,105,105.3,105.27,3157,3.32,41, -, -
AHLEAST, BE, 04-Nov-2022,130.65,134,134.85,128.45,132.95,132.9,130.66,2904,3.79,92, -, -
AHLUCONT, EQ, 04-Nov-2022,429.5,435,435,416.65,424.5,424.2,424.28,8043,34.12,1193,5627,69.96
AIAENG, EQ, 04-Nov-2022,2765.9,2751.25,2771.75,2730.1,2735,2739.85,2750.07,10491,288.51,2416,5564,53.04
AIRAN, EQ, 04-Nov-2022,17.55,17.75,17.75,17.5,17.5,17.6,17.59,58620,10.31,499,35777,61.03
AIROLAM, EQ, 04-Nov-2022,106.7,105,108.95,105,107.5,106.3,106.84,20896,22.32,356,13469,64.46
AIRTELPP, E1, 04-Nov-2022,437.5,441,441.95,427,433.9,434.8,432.72,223505,967.14,5464,178490,79.86
AJANTPHARM, EQ, 04-Nov-2022,1347.7,1286,1293.25,1250,1256,1256.2,1263.77,403738,5102.33,24925,100368,24.86
AJMERA, EQ, 04-Nov-2022,235,235,240.35,232.9,235,234.75,236.5,13382,31.65,644,7818,58.42
AJOONI, EQ, 04-Nov-2022,7.5,7.6,7.8,7.3,7.6,7.5,7.53,355800,26.79,748,147069,41.33
AJRINFRA, EQ, 04-Nov-2022,1.5,1.55,1.55,1.45,1.5,1.45,1.48,616654,9.15,400,457573,74.2
AKASH, EQ, 04-Nov-2022,35.75,36,36,35,36,35.85,35.81,23895,8.56,187,21270,89.01
AKG, BE, 04-Nov-2022,54.15,56.45,56.85,52.1,56.85,56.7,56.26,21895,12.32,65, -, -
AKSHAR, EQ, 04-Nov-2022,33.3,34.95,34.95,34.65,34.95,34.95,34.95,393043,137.36,606,325325,82.77
AKSHARCHEM, EQ, 04-Nov-2022,325.6,330.45,330.45,321.3,326,328.05,326.52,7779,25.4,574,3575,45.96
AKSHOPTFBR, EQ, 04-Nov-2022,10.3,10.2,11.1,10.2,10.7,10.7,10.59,443553,46.99,680,250627,56.5
AKZOINDIA, EQ, 04-Nov-2022,2151.45,2162.25,2177,2060.95,2100.7,2105.2,2120.06,14967,317.31,3584,5983,39.97
ALANKIT, EQ, 04-Nov-2022,11.05,11.15,11.3,11.05,11.15,11.15,11.18,192461,21.52,380,143121,74.36
ALBERTDAVD, EQ, 04-Nov-2022,580.15,582,607.05,577.05,600,600.3,598.23,15944,95.38,961,11428,71.68
ALEMBICLTD, EQ, 04-Nov-2022,73.95,73.9,78.4,73.55,77.95,77.75,76.76,1458115,1119.28,12912,638955,43.82
ALICON, EQ, 04-Nov-2022,867.15,880.1,895,873.1,888.05,888.3,886.88,7425,65.85,945,4820,64.92
ALKALI, EQ, 04-Nov-2022,132.75,133.65,137.3,131.1,132.5,131.5,133.22,69856,93.06,2431,25984,37.2
ALKEM, EQ, 04-Nov-2022,3296.4,3296.4,3301.65,3234.1,3252,3254.35,3260.7,26080,850.39,4818,8841,33.9
ALKYLAMINE, EQ, 04-Nov-2022,3032.45,3050,3064.45,3003.3,3010,3012.4,3028.44,31449,952.41,6652,11331,36.03
ALLCARGO, EQ, 04-Nov-2022,417.55,419.95,421.55,413,415,414.55,416.43,351441,1463.52,10460,177186,50.42
ALLSEC, EQ, 04-Nov-2022,540.6,529.9,529.9,510.05,513.5,514.25,518.56,30171,156.45,1703,18637,61.77
ALMONDZ, EQ, 04-Nov-2022,79.25,80.65,84.75,79,81.5,81.6,81.26,23454,19.06,300,13201,56.28
ALOKINDS, BE, 04-Nov-2022,16.35,16.4,16.55,16,16.25,16.25,16.29,1331098,216.8,3023, -, -
ALPA, EQ, 04-Nov-2022,58.1,57.8,59,57.6,58,58.1,58.23,12669,7.38,287,7374,58.21
ALPHAGEO, EQ, 04-Nov-2022,277.05,282.55,282.55,277.05,277.1,277.8,278.79,4212,11.74,359,2204,52.33
ALPSINDUS, EQ, 04-Nov-2022,2.4,2.5,2.5,2.5,2.5,2.5,2.5,12500,0.31,26,12500,100
AMARAJABAT, EQ, 04-Nov-2022,519.75,549,579.9,543,569.95,569.4,570.23,15679162,89407.86,183409,1366131,8.71
AMBER, EQ, 04-Nov-2022,2019.95,2030.05,2034.75,2012.55,2021.25,2020.35,2020.57,60235,1217.09,5412,41401,68.73
AMBICAAGAR, BE, 04-Nov-2022,32.65,33.25,33.25,31.9,32.9,32.85,32.62,17677,5.77,153, -, -
AMBIKCO, EQ, 04-Nov-2022,1622.6,1611,1643.85,1611,1638,1633.2,1633.61,7493,122.41,2765,2858,38.14
AMBUJACEM, EQ, 04-Nov-2022,539.5,540.9,560.3,538.85,558.35,558.6,552.09,8028860,44326.83,79725,2433313,30.31
AMDIND, BE, 04-Nov-2022,76.75,77.2,78.25,75.05,77.9,77.65,77.11,13067,10.08,198, -, -
AMEYA, SM, 04-Nov-2022,54.9,57,64,57,63,63.1,61.79,224000,138.41,48,172000,76.79
AMIORG, EQ, 04-Nov-2022,938.55,950,1018.25,946,980,981.25,975.68,123154,1201.59,8556,46749,37.96
AMJLAND, EQ, 04-Nov-2022,29.1,29.7,29.9,28.7,28.8,28.9,29.21,21986,6.42,165,14875,67.66
AMJUMBO, ST, 04-Nov-2022,26,27.3,27.3,24.95,24.95,25.3,26.56,64000,17,8,64000,100
AMRUTANJAN, EQ, 04-Nov-2022,733.7,733.7,749,730,745,746.4,743.99,15436,114.84,1509,7372,47.76
ANANDRATHI, EQ, 04-Nov-2022,711.45,717.7,717.7,706,707.2,712.25,711.56,37120,264.13,3449,21824,58.79
ANANTRAJ, EQ, 04-Nov-2022,110.45,111,115.65,110.4,114.85,114.85,113.91,2172883,2475.11,8846,922145,42.44
ANDHRACEMT, BE, 04-Nov-2022,6.6,6.9,6.9,6.9,6.9,6.9,6.9,166952,11.52,277, -, -
ANDHRAPAP, EQ, 04-Nov-2022,476.2,476.2,479.5,466,472,470.65,472.69,114292,540.25,6625,57926,50.68
ANDHRSUGAR, EQ, 04-Nov-2022,142.8,142.8,144.35,142.1,143.45,143.25,143.24,63719,91.27,1567,36610,57.46
ANDREWYU, EQ, 04-Nov-2022,20.55,20.55,21.5,20.55,21.3,21.15,21.07,343842,72.44,1161,217197,63.17
ANGELONE, EQ, 04-Nov-2022,1583.05,1560,1582.85,1546.85,1575,1573.85,1566.01,210511,3296.62,12763,77831,36.97
ANIKINDS, EQ, 04-Nov-2022,40.7,40.5,41.4,40.1,40.5,40.5,40.7,42541,17.32,399,23072,54.23
ANKITMETAL, EQ, 04-Nov-2022,6.55,6.7,6.7,6.4,6.5,6.55,6.5,169659,11.03,487,77090,45.44
ANMOL, EQ, 04-Nov-2022,167.65,165.05,168,165,166.5,166.5,166.42,4117,6.85,456,2096,50.91
ANNAPURNA, SM, 04-Nov-2022,138.25,140,162,140,155.35,157.8,152.12,274000,416.8,135,156000,56.93
ANSALAPI, BE, 04-Nov-2022,28.65,29.5,30.05,29.45,30,29.95,30,547910,164.38,596, -, -
ANTGRAPHIC, EQ, 04-Nov-2022,0.8,0.8,0.85,0.75,0.8,0.8,0.79,453901,3.6,383,446400,98.35
ANUP, EQ, 04-Nov-2022,849.9,850.65,855.95,841.1,841.1,845.25,847.12,5406,45.8,531,3420,63.26
ANURAS, EQ, 04-Nov-2022,747.15,750.5,756,742.8,748,749,748.38,69424,519.55,4305,33582,48.37
APARINDS, EQ, 04-Nov-2022,1433.5,1449,1480,1434,1460,1463.95,1459.05,58738,857.02,6551,29785,50.71
APCL, EQ, 04-Nov-2022,217.2,217.25,223,217.1,219.25,219.7,220.4,20702,45.63,753,14432,69.71
APCOTEXIND, EQ, 04-Nov-2022,511.6,512.7,517.2,511.25,516.5,515.65,514.14,44126,226.87,3869,27145,61.52
APEX, EQ, 04-Nov-2022,275.65,276.95,281.05,274.2,279.6,278.85,278.26,33574,93.42,2279,15475,46.09
APLAPOLLO, EQ, 04-Nov-2022,1091.85,1090,1121,1090,1100,1099.8,1106.67,440392,4873.68,23347,229788,52.18
APLLTD, EQ, 04-Nov-2022,658.15,658.15,659.8,642.6,654,656.6,653.17,266812,1742.73,12761,84468,31.66
APOLLO, BE, 04-Nov-2022,226.05,226.1,236,226.05,232,234.25,233.26,121174,282.65,1998, -, -
APOLLOHOSP, EQ, 04-Nov-2022,4395,4410,4410,4340.05,4369,4362.6,4356.77,669679,29176.4,39116,459250,68.58
APOLLOPIPE, EQ, 04-Nov-2022,491.05,491.1,495.5,475.6,491,488.6,490.12,19286,94.52,1909,9725,50.43
APOLLOTYRE, EQ, 04-Nov-2022,286.45,286.45,289.6,285,289.6,288.9,287.28,1776393,5103.17,14783,591263,33.28
APOLSINHOT, EQ, 04-Nov-2022,1533.95,1560,1580,1530,1531.75,1536.4,1540.75,870,13.4,165,539,61.95
APTECHT, EQ, 04-Nov-2022,334.8,335,339,330,338,337.2,334.96,187742,628.86,5446,77379,41.22
APTUS, EQ, 04-Nov-2022,324.2,324.3,327.8,319.05,324.7,324.25,323.91,92175,298.56,5907,43887,47.61
ARCHIDPLY, EQ, 04-Nov-2022,75.3,76.35,78.8,75.45,77.35,77.65,77.44,69774,54.03,999,39088,56.02
ARCHIES, EQ, 04-Nov-2022,19.95,19.95,20.2,19.6,19.7,19.75,19.94,18537,3.7,221,11670,62.96
ARENTERP, EQ, 04-Nov-2022,32.45,33,34.7,33,33.5,33.4,33.75,5011,1.69,90,3092,61.7
ARIES, EQ, 04-Nov-2022,131.45,131.35,133.95,129.15,130.35,129.95,130.55,15508,20.25,498,10721,69.13
ARIHANTCAP, EQ, 04-Nov-2022,74.55,74.45,74.45,71.95,72.35,72.2,73.21,197769,144.79,1370,62482,31.59
ARIHANTSUP, EQ, 04-Nov-2022,223.85,224.95,227.9,219.8,222.8,223.6,223.65,156125,349.17,1669,92681,59.36
ARMANFIN, EQ, 04-Nov-2022,1565.65,1574,1606.95,1540,1540,1556.45,1577.96,29872,471.37,2974,15684,52.5
AROGRANITE, EQ, 04-Nov-2022,48.7,48.85,50.45,46.25,48,48.25,48.76,61157,29.82,633,27627,45.17
ARROWGREEN, BE, 04-Nov-2022,123.65,122,123.6,119.55,121.1,121.15,121.08,1558,1.89,31, -, -
ARSHIYA, EQ, 04-Nov-2022,11.9,11.95,12.1,11.45,11.6,11.55,11.68,715632,83.56,933,500669,69.96
ARSSINFRA, BE, 04-Nov-2022,20.7,21.4,21.4,20.35,20.8,20.8,20.99,6299,1.32,34, -, -
ARTEMISMED, EQ, 04-Nov-2022,70.7,71.55,74.5,70.15,73,74,72.99,760247,554.87,4898,435268,57.25
ARTNIRMAN, EQ, 04-Nov-2022,67.5,67.55,70.85,64.6,70.85,70.75,69.47,68532,47.61,474,42052,61.36
ARVEE, EQ, 04-Nov-2022,88.2,93.75,93.95,88.25,91,91,92.09,792,0.73,18,130,16.41
ARVIND, EQ, 04-Nov-2022,91.55,92,96.9,92,95.9,95.75,95.18,2406044,2289.98,13571,833058,34.62
ARVINDFASN, EQ, 04-Nov-2022,366.05,368.2,372,365,365.5,367.15,368.49,148704,547.95,4968,69126,46.49
ARVSMART, EQ, 04-Nov-2022,254.9,255.95,266,254.3,257,257.6,259.69,88748,230.47,3670,25900,29.18
ASAHIINDIA, EQ, 04-Nov-2022,618.85,618,618.85,611,614,617.5,615.26,50577,311.18,4313,22224,43.94
ASAHISONG, EQ, 04-Nov-2022,293.7,294,294,286.25,291.9,290.2,290.25,7839,22.75,475,5239,66.83
ASAL, EQ, 04-Nov-2022,400.05,405.7,409.3,402,404.85,403.5,405.56,15405,62.48,1141,8553,55.52
ASALCBR, EQ, 04-Nov-2022,482.85,482.95,485.5,476.4,477,477.55,478.76,25500,122.08,2679,12973,50.87
ASCOM, SM, 04-Nov-2022,83.45,87.6,87.6,87.6,87.6,87.6,87.6,2000,1.75,1,2000,100
ASHAPURMIN, EQ, 04-Nov-2022,87.05,86.25,88.4,86.25,87.25,87.25,87.59,99510,87.16,1295,62171,62.48
ASHIANA, EQ, 04-Nov-2022,165.1,165.95,168.8,163.6,168,167.6,167.15,84421,141.11,1626,65153,77.18
ASHIMASYN, EQ, 04-Nov-2022,14.75,14.75,15.05,14.65,14.7,14.7,14.76,33771,4.99,144,24436,72.36
ASHOKA, EQ, 04-Nov-2022,73.95,73.95,74.5,73.8,74.2,74.05,74.16,417168,309.36,2463,215747,51.72
ASHOKLEY, EQ, 04-Nov-2022,148.05,147.8,148.7,146.25,146.95,146.7,146.93,13308911,19554.14,56131,8681270,65.23
ASIANENE, EQ, 04-Nov-2022,75.35,75.35,77.5,73.8,75.5,75.6,75.61,41465,31.35,661,27825,67.1
ASIANHOTNR, EQ, 04-Nov-2022,91.25,92.55,92.55,90.5,90.9,90.85,90.95,3703,3.37,93,2814,75.99
ASIANPAINT, EQ, 04-Nov-2022,3141.3,3148,3185,3125.9,3185,3181.35,3159.87,609757,19267.54,45557,272095,44.62
ASIANTILES, EQ, 04-Nov-2022,56.65,57.05,57.3,56,56.7,56.8,56.73,308421,174.96,3215,202475,65.65
ASPINWALL, EQ, 04-Nov-2022,226.45,232.7,232.7,225,228.35,229.6,228.34,4822,11.01,241,2598,53.88
ASTEC, EQ, 04-Nov-2022,2144.2,2123,2187,2123,2177,2174.05,2158.96,16545,357.2,4049,7034,42.51
ASTERDM, EQ, 04-Nov-2022,269.55,272.5,275.6,264.15,267.5,268.25,270.48,756510,2046.19,12373,267521,35.36
ASTRAL, EQ, 04-Nov-2022,2075.55,2076,2109.3,2063.55,2088.5,2087.3,2085.94,308390,6432.84,24003,111633,36.2
ASTRAMICRO, EQ, 04-Nov-2022,313.65,316.7,333.5,314.8,327.9,327.3,325.23,1558296,5068.05,20436,624446,40.07
ASTRAZEN, EQ, 04-Nov-2022,3365.4,3365,3447,3365,3410,3430.7,3425.69,16072,550.58,3455,9176,57.09
ASTRON, EQ, 04-Nov-2022,34.7,34.3,35,34.3,35,34.7,34.65,26869,9.31,235,19892,74.03
ATALREAL, SM, 04-Nov-2022,60.5,61.45,63.5,60.6,62,62,61.28,124800,76.48,20,33600,26.92
ATFL, EQ, 04-Nov-2022,782.45,782.45,787.95,768,770,770,776.05,29269,227.14,1246,17429,59.55
ATGL, EQ, 04-Nov-2022,3660.9,3659,3800,3501,3750,3759.25,3697.13,349779,12931.78,33735,80447,23
ATLANTA, BE, 04-Nov-2022,21.1,20.7,20.7,20.7,20.7,20.7,20.7,3090,0.64,66, -, -
ATUL, EQ, 04-Nov-2022,8443.6,8460,8504.5,8321.85,8422.1,8463.8,8405.36,22057,1853.97,7328,10831,49.1
ATULAUTO, EQ, 04-Nov-2022,273.65,275,279.8,271.35,272.5,272.7,274.99,115077,316.45,3954,46249,40.19
AUBANK, EQ, 04-Nov-2022,614.6,613,619.9,611.8,616.85,616.35,614.82,805042,4949.52,23076,437775,54.38
AURDIS, SM, 04-Nov-2022,157.75,149.9,149.9,149.9,149.9,149.9,149.9,12000,17.99,6,12000,100
AURIONPRO, EQ, 04-Nov-2022,378.25,381,381,368,371.95,371.15,372.22,79934,297.53,3902,44861,56.12
AUROPHARMA, EQ, 04-Nov-2022,558.35,559.45,562.9,549.7,553,553.6,553.02,740443,4094.77,19264,295965,39.97
AURUM, BE, 04-Nov-2022,115.9,113.45,120,113.45,120,118.05,116.75,26031,30.39,375, -, -
AURUMPP, X1, 04-Nov-2022,57.95,59.65,60.8,55.1,60.8,60.8,58.76,69401,40.78,139,68033,98.03
AUSOMENT, EQ, 04-Nov-2022,72.6,73.4,74.6,70.2,71.1,71.25,72.17,13763,9.93,463,5574,40.5
AUTOAXLES, EQ, 04-Nov-2022,1990.15,1990.15,2007.95,1961,1970,1978.75,1979.96,10327,204.47,3012,4971,48.14
AUTOBEES, EQ, 04-Nov-2022,134.16,135.34,135.34,133.6,134.5,134.03,134,17977,24.09,407,11520,64.08
AUTOIND, EQ, 04-Nov-2022,106.4,108.4,110.75,107.05,108,108.1,108.83,55166,60.04,754,29673,53.79
AVADHSUGAR, EQ, 04-Nov-2022,502.55,504.5,507.5,491.1,492,496.65,496.43,34546,171.5,2209,17031,49.3
AVANTIFEED, EQ, 04-Nov-2022,436,438,439.65,431.1,436,436.15,435.32,210577,916.69,10417,111618,53.01
AVG, SM, 04-Nov-2022,118.6,124.45,124.45,124.45,124.45,124.45,124.45,1200,1.49,1,1200,100
AVROIND, EQ, 04-Nov-2022,119.8,122.55,123.5,119.05,122.95,121.55,122.08,105317,128.57,3418,31599,30
AVTNPL, EQ, 04-Nov-2022,111.7,112.5,113.75,111,112.9,112.6,112.51,121481,136.68,3049,65926,54.27
AWHCL, EQ, 04-Nov-2022,306.2,305.5,309.75,304.35,307.9,307.15,307.15,65487,201.14,2728,39289,60
AWL, EQ, 04-Nov-2022,682.3,672.3,693.8,667,683.7,684.55,681.64,4267362,29088.12,78359,1147207,26.88
AXISBANK, EQ, 04-Nov-2022,864.05,869,872.9,862.3,868.2,868.1,866.91,7323879,63491.63,137308,4088336,55.82
AXISBNKETF, EQ, 04-Nov-2022,416.59,420.98,420.98,413.71,417.52,416.82,415.28,1340,5.56,78,1281,95.6
AXISBPSETF, EQ, 04-Nov-2022,10.51,10.5,10.51,10.48,10.49,10.5,10.5,29731,3.12,267,26014,87.5
AXISCADES, EQ, 04-Nov-2022,289.85,287.1,318.8,280.1,318.8,318.8,314.59,775772,2440.46,6076,467531,60.27
AXISCETF, EQ, 04-Nov-2022,79.7,77.9,79.89,77.9,79.89,79.53,79.54,533,0.42,20,261,48.97
AXISGOLD, EQ, 04-Nov-2022,43.13,43.48,43.5,43.26,43.44,43.38,43.41,25033,10.87,818,14503,57.94
AXISHCETF, EQ, 04-Nov-2022,86.2,86.6,86.6,85.28,85.69,85.39,85.66,22090,18.92,66,12047,54.54
AXISILVER, EQ, 04-Nov-2022,58.82,59.2,60.24,59.01,59.3,59.45,60.04,4311,2.59,51,2866,66.48
AXISNIFTY, EQ, 04-Nov-2022,191.91,192.8,192.8,191.03,192.2,192.02,191.76,3510,6.73,165,2413,68.75
